case,household_size,gas_electric_included,gas_method,duel_method,elec_method,heat_electric,heat_gas,heat_oil,heat_solid,heat_solidoil,heat_calor,heat_other,rent_net,rent_service,council_tax,water_charge,sewage_charge,housing_insurance,education_expense,telephone_exp,mobile_exp,comms_expenses,gas_expenses,elec_expenses,duel_energy,tv_a_exp,vehicle_road_tax,vehicle_insurance,internet_wk,insurance_exp,furniture,holiday_UK,cruise_UK,holiday_outside,cruise_outside,domestic_flights,int_flight,gas_meter,duel_prepayment,gas_payment,ctsproxy,council_water,housing_expenses,food_exp,tobacco_exp,alcohol_exp,transport_costs,clothing_exp,total_exp,coffee_exp,tea_exp,sausage_exp,cakes_exp,petrol_exp,tp_exp,jewelry_exp,cosmetics_exp,elec_slot_payment,c45212t,railway_exp,pet_food,pet_acc,gas_slot_payment,gas_bottle_slot,p116t,food_expenses,alcohol_expenses,gross_income,gross_normal,disposable_income,taxes,p515p
3263,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.326370192307692,11.54,NA,3.9325,NA,5.77,4.15,NA,NA,NA,25.39,3.06,3,7.31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.23283633151686,240.525,NA,68.37,107.05,11.31,597.6453363315169,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.525,68.37,1130.85,1130.85,842.37,184.63,70.23283633151686
3264,3,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,30.61384615384615,NA,5.798269230769231,2.1175,NA,NA,NA,9.23,NA,10.39,NA,3.06,13.27,23.85,0.96,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,58.8904092494354,70.005,NA,6.49,61.11,18.11,324.8279092494354,2.29,NA,0.895,1.145,39.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.295,70.005,6.49,1846.06,1846.06,1348.94,354.49,58.8904092494354
3265,2,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,56.91201923076923,6.92,NA,3.2285,NA,NA,8.08,18,NA,27.69,NA,3.06,15.08,15.73,NA,NA,NA,NA,NA,NA,NA,NA,50.77,NA,NA,NA,NA,NA,201.90245785627283,42.43,NA,19.72,302.875,14.63,727.6389578562728,NA,NA,1.8,1.65,NA,NA,NA,1.245,NA,NA,NA,7.15,3.69,NA,NA,135.925,42.43,19.72,787.74,787.74,713.99,58.75,201.90245785627283
3266,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28.15269230769231,5.54,NA,2.2825,NA,NA,10.39,3.46,NA,NA,21.23,3.06,7.62,6.44,NA,NA,320.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.15727867574105,44.935,NA,NA,67.31,320.16,854.299778675741,NA,1.3,1,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.935,NA,1088.38,1088.38,823.21,176.78,228.15727867574105
3267,4,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,33.799743589743585,6.23,NA,2.6455,NA,5.93,31.46,NA,16.88,22.8,NA,3.06,9.42,13.86,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.88,NA,NA,131.99583078975465,324.655,NA,82.755,246.955,390.4,1519.6153307897546,3.4,NA,NA,2.8,25.005,NA,NA,1.1,NA,NA,26,NA,NA,NA,NA,1.62,324.655,82.755,2367.57,2367.57,1946.76,234.37,131.99583078975465
3268,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39.042115384615386,15.38,NA,5.87,NA,NA,2.76,5.54,NA,NA,66.01,3.06,3.85,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.02961202437496,113.635,NA,13.15,150.875,2.8,573.6696120243749,2.25,NA,1.25,NA,10.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.635,13.15,790.4663076923076,790.4663076923076,701.6163076923077,88.85,113.02961202437496
3269,3,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,132.7,NA,25.52576923076923,6.92,NA,NA,NA,NA,9,NA,11.54,9.23,NA,NA,0.96,21.47,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.54,NA,NA,166.1417757390872,180.5,NA,6.5,303.83,19.31,811.5967757390872,1.545,NA,3.03,1.88,20.015,NA,NA,2.04,NA,NA,NA,NA,NA,NA,NA,NA,180.5,6.5,1048.22,1048.22,812.44,158.47,166.1417757390872
3270,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39.042115384615386,5.69,NA,1.7985,NA,NA,9.7,22.62,NA,NA,69.93,3.06,13.84,10.35,NA,NA,NA,NA,NA,20.77,NA,NA,NA,NA,NA,NA,NA,NA,86.1599450867052,121.25,NA,61.35,385.225,60.305,1081.4264450867051,NA,NA,1.5,3.075,22.595,NA,NA,9.24,NA,NA,NA,9.65,NA,NA,NA,14.96,121.25,61.35,1329.78,1329.78,1064.39,151.39,86.1599450867052
3271,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,26.028076923076924,15.3,NA,6.1435,NA,NA,9.33,29.19,17.58,12.1,NA,3.06,NA,12.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.58,NA,NA,48.187274793903626,40.575,NA,NA,62.06,1.5,254.3487747939036,NA,NA,1.25,1.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.575,NA,295.92,295.92,256.46,NA,48.187274793903626
3272,2,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,27.271282051282054,13.85,NA,3.1735,NA,NA,NA,7.85,NA,23.08,NA,NA,2.67,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.66616721275081,27.57,NA,NA,15.38,0.05,158.6476672127508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,27.57,NA,922.8532307692308,922.8532307692308,928.6232307692308,NA,52.66616721275081
3273,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,26.864134615384614,NA,4.744038461538461,5.7,NA,NA,2.31,NA,NA,NA,18.46,3.06,NA,NA,5.3,NA,15.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,157.872945081212,38.98,NA,NA,NA,19.675,299.177945081212,NA,NA,3.25,1,NA,1.9,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,38.98,NA,1517.71,1652.06,1276.733,235.027,157.872945081212
3274,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,32.94195512820513,3.69,NA,4.565,NA,NA,3.45,14.53,NA,NA,25.69,3.06,2.88,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.97004319411823,81.175,46.85,7.02,19.725,4.905,319.34504319411826,NA,NA,NA,2.825,19.725,NA,NA,1.625,NA,NA,NA,NA,NA,NA,NA,NA,81.175,7.02,398.6132307692307,398.6132307692307,398.6132307692307,NA,79.97004319411823
3275,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35.13102564102564,5.93,NA,1.0835,NA,NA,1.54,NA,NA,NA,43.39,3.06,3.17,8.14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.01399132443979,78.745,5,NA,25.755,8.585,279.8704913244398,NA,NA,3.25,NA,23.065,1.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.745,NA,888.0601538461539,888.0601538461539,780.5101538461539,107.55,46.01399132443979
3276,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.353076923076923,11.51,NA,6.24,NA,NA,14.32,NA,NA,18.29,NA,NA,2.6,7.41,9.23,NA,15.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.12217443985809,86.37,NA,14.34,87.62,32.845,393.59217443985807,NA,NA,1.425,NA,NA,NA,NA,7.245,NA,NA,NA,0.545,NA,NA,NA,NA,86.37,14.34,507.9,901.01,895.91,NA,97.12217443985809
3277,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25.04769230769231,NA,4.744038461538461,5.522,NA,NA,14.93,29.54,NA,NA,69.7,3.06,3.19,12.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,41.34533623582675,89.655,NA,NA,59.33863688815223,44.41,466.46197312397896,1.915,1.24,NA,1.4,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.655,NA,1329.66,1353.16,1031.72,202.45,41.34533623582675
3278,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,38.09682692307692,8.48,NA,10.131,NA,NA,16.91,17.75,NA,NA,51.85,3.06,2.12,3.05,NA,10.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.86303655557772,68.385,NA,22.05,12.28,11.81,404.22703655557774,1.045,NA,2.19,3.24,NA,NA,NA,14.785,NA,NA,NA,4.685,NA,NA,NA,NA,68.385,22.05,2667,2519.048,2003.51,NA,126.86303655557772
3279,4,3,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,30.779230769230768,14.08,NA,1.705,NA,NA,4.16,10.62,14.31,NA,NA,3.06,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.31,NA,NA,101.66528085879972,69.48,NA,2,134.4328409877683,43.135,562.193121846568,1.145,NA,NA,0.245,NA,NA,NA,9.995,NA,NA,NA,NA,NA,NA,NA,NA,69.48,2,993.64,993.64,629.14,220.5,101.66528085879972
3280,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,158,NA,16.60980769230769,10.15,NA,NA,NA,NA,NA,32.31,NA,NA,36.85,3.06,6.92,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.77259430331023,106.175,36.225,11.2,17.685,20.5,448.27259430331026,NA,NA,2.005,2.8,14.995,4.375,NA,NA,NA,NA,NA,10.75,NA,NA,NA,NA,106.175,11.2,249.88815384615384,249.88815384615384,249.88815384615384,NA,184.77259430331023
3281,2,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,27.922371794871793,10.1,NA,1.2155,NA,NA,2.53,7.92,12.69,7.39,NA,3.06,0.58,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.69,NA,NA,137.68917663344408,67.735,NA,41.945,80.635,5.725,441.0286766334441,NA,NA,NA,NA,NA,NA,7.475,NA,NA,NA,11.4,NA,NA,NA,NA,13.5,67.735,41.945,480.2181538461538,480.2181538461538,480.2181538461538,NA,137.68917663344408
3282,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,173.09,NA,30.412532051282053,6.92,NA,NA,NA,NA,NA,53.23,NA,NA,121,3.06,4.42,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.31899926888585,140.1,NA,NA,229.96538329554917,37.705,842.1543825644351,NA,NA,0.76,3.075,56,NA,13.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.1,NA,254.672,553.982,538.772,NA,211.31899926888585
3283,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,23.400528846153847,8.12,NA,1.2705,NA,NA,21.92,NA,NA,23.08,NA,3.06,3.35,6.92,7.39,NA,11.46,NA,NA,NA,NA,NA,23.08,NA,NA,NA,NA,NA,104.70253528808492,33.895,NA,NA,189.28,13.245,484.98780451885415,NA,0.295,NA,NA,11,NA,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,33.895,NA,516.15,516.15,424,48.33,104.70253528808492
3284,2,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,32.83394230769231,NA,5.798269230769231,1.056,NA,NA,3.23,15.35,NA,NA,NA,3.06,12.95,9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,50.909810804249936,265.78,NA,51.295,81.635,41.73,850.4088108042499,0.9,NA,18.07,4.31,NA,NA,NA,NA,NA,NA,NA,1.345,NA,NA,NA,NA,265.78,51.295,723.9,723.9,639.75,52.17,50.909810804249936
3285,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,21.852548076923075,10,NA,NA,NA,NA,24,10.39,NA,23.31,NA,3.06,NA,NA,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,44.74,5.5,NA,NA,9.575,150.07,7.15,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,44.74,NA,320.542,320.542,320.542,NA,10
3286,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,35.96180288461538,23.08,NA,4.2295,NA,NA,NA,11.54,NA,NA,34.62,3.06,2.31,9.62,NA,NA,53.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.24344924829752,45.245,NA,45.455,5.2,57.7,281.3639492482975,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.245,45.455,198.65815384615385,198.65815384615385,198.65815384615385,NA,65.24344924829752
3287,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,60.9975,3,NA,2.728,NA,NA,11.54,13.62,NA,NA,27.93,3.06,2.69,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.3099292537,63.69,NA,20.5,39.625,NA,340.3069292537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.69,20.5,850.6432307692307,850.6432307692307,741.5932307692307,109.05,113.3099292537
3288,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,17.909423076923076,NA,3.1626923076923075,NA,NA,NA,NA,14.07,NA,17.31,NA,3.06,NA,NA,NA,NA,NA,NA,NA,74.31,NA,NA,NA,NA,NA,NA,164.46,141.66,3.788831135105829,99.605,NA,NA,11.5,10.55,564.7738311351059,NA,NA,NA,NA,NA,2.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.605,NA,461.7232307692307,461.7232307692307,461.7232307692307,NA,3.788831135105829
3289,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,19.55091346153846,3.62,NA,1.1825,NA,NA,NA,18.58,12.99,NA,NA,3.06,0.58,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.99,NA,NA,25.811391146795508,33.85,NA,6.3,14.54,1,139.4388911467955,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.85,6.3,637.73,637.73,516.65,73.6,25.811391146795508
3290,1,3,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,69.92,NA,25.25,26.5,25.74,255.02,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,69.92,25.25,181.162,181.162,181.162,NA,NA
3291,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.28384615384615,6.92,NA,NA,NA,NA,11.54,6.23,NA,NA,24.69,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.54,NA,NA,NA,NA,NA,140.4603785293221,113.26,NA,4.805,61.54,19.33,324.0153785293221,NA,0.835,2.615,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.26,4.805,2010.41,2010.41,1549.3,279.16,140.4603785293221
3292,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,58.27166666666666,5.21,NA,2.453,NA,NA,NA,8.08,NA,NA,76.85,3.06,9.13,3.71,1.54,19.1,461.54,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.6256962067778,159.155,NA,49.7,66.325,505.43,1509.3076962067776,1.645,NA,4.94,3.07,29.605,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.455,49.7,1889.1,1889.1,1417.99,364.89,288.6256962067778
3293,1,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,76.16,NA,12.523846153846153,NA,3.1626923076923075,NA,NA,NA,10.15,NA,NA,NA,NA,NA,NA,NA,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,95.5617287353671,2.56,NA,NA,NA,0.1,180.14172873536708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56,NA,408.14,408.14,360.03,37.49,95.5617287353671
3294,4,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,30.61384615384615,NA,5.798269230769231,5.0765,NA,NA,7.31,23.08,11.54,5.38,NA,3.06,2.89,11.15,NA,NA,13.85,NA,NA,NA,NA,NA,NA,NA,NA,11.54,164.46,141.66,54.546612914001315,62.21,NA,8.945,56.35,20.495,260.9501129140013,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,5.52,NA,NA,NA,NA,62.21,8.945,1381.05,1381.05,1243.13,129.88,54.546612914001315
3295,1,3,1,NA,3,NA,1,NA,NA,NA,NA,NA,99.58,NA,20.14810096153846,NA,4.744038461538461,NA,NA,NA,4.85,NA,8.08,NA,NA,3.06,3.17,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08,164.46,141.66,129.9833900534604,12.585,NA,17.79,33.27,34.255,280.4133900534604,NA,0.545,NA,0.545,30,NA,NA,NA,NA,NA,NA,11.42,1.49,NA,NA,NA,12.585,17.79,545.06,545.06,451.35,53.14,129.9833900534604
3296,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19.14432692307692,9.92,NA,5.016,NA,NA,1.87,4.38,NA,NA,28,3.06,NA,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.85730739686181,108.055,NA,25.235,57.93,50.905,554.1913073968618,9.045,NA,1.27,3.425,NA,4.65,NA,1.375,NA,NA,NA,7.495,5.39,NA,NA,1,108.055,25.235,719.462,723.312,694.455,16.357,79.85730739686181
3297,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,76.56,NA,17.909423076923076,NA,3.1626923076923075,NA,NA,NA,34.62,NA,NA,50,NA,NA,4.81,4.81,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.46,141.66,100.72077247815471,199.255,43.875,NA,112.11,54.925,699.1307724781548,0.82,NA,6.66,9.13,NA,3.99,NA,NA,NA,NA,NA,28.31,0.99,NA,NA,0.94,199.255,NA,604.254,604.254,568.184,21.54,100.72077247815471
3298,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39.52240384615385,7.44,NA,1.65,NA,NA,1.62,15.23,NA,NA,18.46,3.06,3.33,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.89479902185541,67.525,NA,2.145,28.55,30.775,227.8147990218554,1.145,NA,NA,NA,26.7,NA,1.5,NA,NA,NA,NA,26.775,NA,NA,NA,NA,67.525,2.145,435.0332307692307,435.0332307692307,427.3032307692307,7.73,50.89479902185541
3299,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17.337259615384614,8.08,NA,NA,NA,NA,2.08,NA,NA,NA,14.54,3.06,0.58,8.65,5.31,NA,63.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.80560121789536,75.87,NA,9,170.805,76.88,613.2706012178953,NA,1,NA,NA,23.995,1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.87,9,690.12,690.12,551.1,78.28,127.80560121789536
3300,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,126.93,NA,18.876634615384617,4.36,NA,NA,NA,NA,9.23,NA,NA,NA,7.01,3.06,5.92,9.96,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.92960336309,97.145,NA,9.765,108.977253634895,7.15,521.9568569979849,1.7,0.885,1.245,NA,35.03,NA,NA,NA,NA,NA,NA,NA,2.245,NA,NA,NA,97.145,9.765,856.21,885.06,688.75,122.59,149.92960336309
3301,3,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,30.61384615384615,NA,5.798269230769231,2.6455,NA,NA,12.55,8.83,NA,NA,43.79,3.06,2.98,8.27,NA,NA,11.54,NA,NA,269.23,NA,NA,NA,NA,NA,NA,164.46,141.66,129.38797687738003,150.4,NA,2,52.115,23.415,819.94747687738,NA,NA,0.875,4.15,23.735,6.625,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,150.4,2,1841.64,1841.64,1441.2,241.86,129.38797687738003
3302,1,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,7.39,4.23,4.92,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,106,24.18,NA,0.445,NA,5.435,161.985,0.89,NA,0.625,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.18,0.445,202.96815384615385,202.96815384615385,202.96815384615385,NA,106
3303,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40.138461538461534,NA,7.906730769230769,7.546,NA,NA,8.31,18,NA,NA,23.31,3.06,18.95,18.66,NA,46.01,178.85,NA,NA,346.15,NA,NA,NA,NA,NA,NA,164.46,141.66,168.6465906155095,93.45,NA,NA,308.495,252.935,1534.0055906155096,NA,1.745,NA,0.5,34.695,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.745,93.45,NA,2520.64,2519.048,1944.86,370.35,168.6465906155095
3304,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,21.176971153846154,5.08,NA,NA,NA,NA,NA,NA,NA,NA,34.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.33415239513938,39.145,8.125,16.4,5.5,10.91,191.92915239513937,NA,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,1.395,NA,NA,NA,NA,39.145,16.4,470.42,470.42,391.88,46.76,66.33415239513938
3305,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23.237692307692306,11.74,NA,2.2165,NA,NA,7.81,13.73,NA,NA,43.85,3.06,NA,6.86,NA,NA,NA,NA,NA,69.23,NA,NA,NA,NA,NA,NA,NA,NA,97.4194431974431,71.58,NA,27.655,104.055,31.585,513.6579431974432,NA,NA,NA,0.525,25.115,0.845,NA,NA,NA,NA,NA,0.345,NA,NA,NA,NA,71.58,27.655,514.88,514.88,457.18,40.39,97.4194431974431
3306,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25.04769230769231,NA,4.744038461538461,4.2405,NA,NA,NA,15.1,NA,NA,36.93,3.06,NA,5.03,NA,3.14,NA,NA,NA,160.23,NA,NA,26.15,NA,NA,NA,164.46,141.66,51.54398185800282,108.9,NA,10.1,27.625,151.72,571.1934818580028,NA,4.24,1.95,13.515,NA,1.65,NA,NA,NA,NA,NA,86.845,NA,NA,NA,NA,108.9,10.1,1163.57,1163.57,928.54,155.66,51.54398185800282
3307,2,3,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,28.235961538461535,8.31,NA,1.1935,NA,NA,18.93,NA,42.01,21.11,NA,3.06,5.11,31.85,5.54,NA,47.69,NA,NA,NA,NA,NA,NA,NA,NA,42.01,NA,NA,94.08556676457333,68.705,NA,11.065,37.695,51.955,415.47706676457335,NA,NA,NA,3.4,NA,NA,NA,0.325,NA,NA,NA,1.395,2.495,NA,NA,22.27,68.705,11.065,562.66,562.66,520.46,25.4,94.08556676457333
3308,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,55.30583333333334,5.77,NA,2.728,NA,NA,6.69,12.23,NA,NA,57.24,3.06,3.06,11,NA,NA,461.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.81737993126841,87.605,NA,20.495,104.32,473.085,906.3293799312685,NA,NA,NA,3.44,NA,2.495,NA,NA,NA,NA,NA,1.575,NA,NA,NA,NA,87.605,20.495,1699.067846153846,1699.067846153846,1431.357846153846,267.71,63.81737993126841
3309,2,3,3,NA,3,NA,1,NA,NA,NA,NA,NA,219.25,NA,36.07,10.85,NA,NA,NA,NA,27,6.23,NA,NA,NA,3.06,NA,25.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,277.1251635217848,37.215,NA,NA,197.175,20.54,845.5251635217847,NA,NA,NA,0.65,88.91,NA,NA,NA,NA,NA,NA,5.4,1.99,NA,NA,NA,37.215,NA,1087.49,1093.74,816.745,179.755,277.1251635217848
3310,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,33.799743589743585,18.16,NA,7.4965,NA,28.62,13.84,NA,NA,NA,10.62,3.06,0.38,17.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.13409683473306,114.365,NA,3.25,103.475,29.235,546.8025968347331,1.6,NA,NA,1.675,23.025,1.875,NA,13.24,NA,NA,6,NA,NA,NA,NA,6.995,114.365,3.25,1288.112,1288.112,1185.512,49.35,100.13409683473306
3311,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.398677884615385,5.54,NA,NA,NA,NA,5.77,NA,NA,27.69,NA,3.06,0.2,7.15,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.57653367861917,117.15,NA,61,61.695,166.985,660.7415336786192,1.59,NA,NA,1.095,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.15,61,888.84,888.84,681.14,120.84,129.57653367861917
3312,2,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,36.24807692307692,1.54,NA,3.1735,NA,NA,NA,7.8,NA,NA,13.85,3.06,3.17,5,NA,NA,NA,169.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.910104900989694,72.1,NA,6,NA,13.21,427.6016049009897,NA,1.59,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,6,610.0532307692307,610.0532307692307,585.6532307692307,24.4,40.910104900989694
3313,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,128.09,NA,22.77456730769231,4.81,NA,NA,NA,NA,2.31,NA,NA,38.54,NA,NA,NA,NA,7.15,NA,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.670786641742,54.635,NA,NA,16.58,16.225,353.210786641742,NA,NA,0.695,1.995,NA,0.945,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,54.635,NA,560.9,560.9,458.22,64.39,155.670786641742
3314,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29.13673076923077,6.58,NA,1.8975,NA,NA,6.23,9.28,NA,NA,8.52,3.06,0.38,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.67783396646581,53.52,NA,5.79,6.58,9.515,211.2153339664658,2.495,1.395,1.095,NA,NA,NA,NA,1.775,NA,NA,NA,NA,NA,NA,NA,10,53.52,5.79,415.3581538461538,415.3581538461538,395.0981538461538,20.26,88.67783396646581
